title;subtitle;url
Els caimans americans, els rinoceront blancs del sud, les balenes grises i els pandes gegants han estat eliminats de la llista d'espècies en perill d'extinció en els últims anys a causa de l'augment de la població.;;
La llei suïssa dicta que els conillets d'índies no es poden mantenir aïllats. N'heu de tenir almenys dos perqué tinguin algú amb qui socialitzar.;;
Els gossos poden olorar els teus sentiments i aprendre a respondre en conseqüència.;;
Les persones cegues somriuen encara que mai abans no hagin vist somriure algú.;;
Els gossos esternuen deliberadament quan juguen a barallar-se per demostrar que no és una baralla seriosa.;;
Hi ha un esquirol que es diu Twiggy que va aprendre a esquiar aquàtic. Ves, home petit. Si pot fer això, jo puc fer qualsevol cosa.;;https://ibb.co/Dwq9gGD
Christchurch, Nova Zelanda, té un mag oficial de l'estat.;;https://img.buzzfeed.com/buzzfeed-static/static/2021-04/6/15/asset/fcc4b50ef787/sub-buzz-12616-1617724627-9.jpg?downsize=600:*&output-format=auto&output-quality=auto
Les vendes de llibres físics han arribat a un màxim històric des del 2007, i l'alfabetització mai ha estat tan alta!;;
Els gats et donen cops de cap com a manera de dir-te que confien en tu.;;
Els pingüins s'aparellen de per vida.;;
Els cignes poden ser gais.;Els pingüins també poden ser gai i les parelles gai adoptaran ous que han estat abandonats.;
Els actors de veu de Minnie (Russi Taylor) i Mickey Mouse (Wayne Allwine) es van casar a la vida real;;
El ullal d'un narval revela les seves condicions de vida passades.;;https://ibb.co/sPwvckc
Els humans som els únics animals que es ruboreixen.;També es creu que som l'únic animal que sent vergonya, una emoció complicada que requereix entendre les opinions dels altres i altres factors.;
Només dos mamífers els agrada el menjar picant: els humans i la musaranya.;;https://ibb.co/bHFCS63
La granota de fusta pot aguantar el pipí fins a vuit mesos.;;https://ibb.co/2vkSZ5V
El cos humà literalment brilla.;Pot ser difícil de veure a simple vista, però tots els que passes cada dia són literalment brillants. El cos humà emet una petita quantitat de llum visible (visible en el sentit tècnic: la il·luminació és unes 1.000 vegades menys intensa que els nivells de llum que realment podríem veure).;
Els coloms poden dir la diferència entre un quadre de Monet i Picasso.;;
L'unicorn és l'animal nacional d'Escòcia.;;
El títol del llibre més llarg conté 1.809 paraules.;El títol del llibre Guinness World Record 2014 de Srijan Timilsina és pràcticament un text complet en si mateix.;
El nom oficial de l'ocell de Twitter és Larry.;;